formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C19H38O12	[M + Na]+	C19H38NaO12+	Fatty acids	0.310	Fatty acyl glycosides	0.366	Fatty acyl glycosides of mono- and disaccharides	0.214	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.942	Glycosyl compounds	0.856	O-glycosyl compounds	0.905	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	481.225	135	2.253	703047512836611197	703045649466712820	56	
2	C11H18N2O2	[M + K]+	C11H18KN2O2+	Alkaloids	0.948	Nicotinic acid alkaloids	0.256	Terpenoid alkaloids	0.281	Organoheterocyclic compounds	0.557	Azacyclic compounds	0.544					Azacyclic compounds	0.544	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	249.099	136	2.258	703047540493856428	703045649693205251	59	
2	C22H22N8O5	[M + Na]+	C22H22N8NaO5+	Carbohydrates	0.969	Nucleosides	0.953	Purine nucleosides	0.978	Nucleosides, nucleotides, and analogues	0.943	Purine nucleosides	0.887					Purine nucleosides	0.887	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	501.157	136	2.262	703047520285696462	703045649617707774	58	
2	C19H38O12	[M + H]+	C19H39O12+	Carbohydrates	0.566	Saccharides	0.380	Iridoids monoterpenoids	0.139	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.854	Glycosyl compounds	0.669	O-glycosyl compounds	0.714	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	459.243	137	2.276	703047626296736213	703045649764508424	60	
1	C15H29N5O6	[M + Na]+	C15H29N5NaO6+	Amino acids and Peptides	0.360	Aminosugars and aminoglycosides	0.207	Aminoglycosides	0.151	Organic oxygen compounds	0.999	Organooxygen compounds	0.988	Alcohols and polyols	0.683	Secondary alcohols	0.508	Secondary alcohols	0.508	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	398.198	137	2.287	703047525205616216	703045649819034381	61	
6	C17H30O5S	[M + Na]+	C17H30NaO5S+	Fatty acids	0.912	Fatty Acids and Conjugates	0.853	Thia fatty acids	0.455	Lipids and lipid-like molecules	0.759	Fatty Acyls	0.744	Fatty acids and conjugates	0.695			Fatty acids and conjugates	0.695	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carbonyl compounds; Sulfenyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	369.169	137	2.287	703047543446646802	703045650066498337	69	
1	C19H34N4O7	[M + H]+	C19H35N4O7+	Carbohydrates	0.589	Aminosugars and aminoglycosides	0.376	Aminoglycosides	0.286	Organic oxygen compounds	1.000	Organooxygen compounds	0.996	Alcohols and polyols	0.717	Primary alcohols	0.715	Primary alcohols	0.715	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	431.249	138	2.298	703047666159402080	703045649877754642	65	
2	C14H30O8	[M + Na]+	C14H30NaO8+	Fatty acids	0.947	Fatty acyls	0.900	Fatty alcohols	0.875	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.901	Dialkyl ethers	0.852	Polyethylene glycols	0.733	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	349.184	138	2.299	703047678293524934	703045650238464816	75	
3	C22H22N2O6	[M + H]+	C22H23N2O6+	Alkaloids	0.607	Tryptophan alkaloids	0.370	Pyrroloquinoline alkaloids	0.072	Benzenoids	0.987							Benzenoids	0.987	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	411.154	138	2.299	703047670198517247	703045650179744555	73	
4	C28H36N4O5	[M + H]+	C28H37N4O5+	Amino acids and Peptides	0.660	Small peptides	0.204	Carboline alkaloids	0.049	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.987	Amino acids, peptides, and analogues	0.773	Amino acids and derivatives	0.764	Amino acids and derivatives	0.764	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	509.272	138	2.300	703047675571421355	703045649940669207	66	
2	C5H14N2O3S	[M + H]+	C5H15N2O3S+	Fatty acids	0.422	Small peptides	0.192	Aminoacids	0.259	Organic nitrogen compounds	0.987	Organonitrogen compounds	0.882					Organonitrogen compounds	0.882	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	183.078	138	2.300	703047673205833758	703045650125218598	71	
1	C14H30O8	[M + H3N + H]+	C14H34NO8+	Fatty acids	0.822	Fatty acyls	0.533	Fatty alcohols	0.432	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.991	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	344.229	138	2.303	703047678767481348	703045650292990773	76	
1	C14H30O8	[M + H]+	C14H31O8+	Fatty acids	0.814	Fatty acyls	0.530	Fatty alcohols	0.428	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.991	Dialkyl ethers	0.992	Polyethylene glycols	0.992	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	327.201	139	2.315	703047676401893604	703045650351711034	79	
1	C15H20N6O5	[M + H]+	C15H21N6O5+	Amino acids and Peptides	0.513	Small peptides	0.681	Purine nucleosides	0.419	Organic acids and derivatives	0.927	Carboxylic acids and derivatives	0.703	Amino acids, peptides, and analogues	0.663	Amino acids and derivatives	0.659	Amino acids and derivatives	0.659	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Diazines; Carbonyl compounds; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	365.156	139	2.321	703047689760753208	703045650003583772	67	
2	C20H28N2O4	[M + Na]+	C20H28N2NaO4+	Alkaloids	0.468	Tryptophan alkaloids	0.175	Open-chain polyketides	0.116	Benzenoids	0.817	Benzene and substituted derivatives	0.590					Benzene and substituted derivatives	0.590	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	383.193	139	2.324	703047688334689794	703045650406236991	80	
1	C12H13NO3	[M + H]+	C12H14NO3+	Alkaloids	0.995	Tyrosine alkaloids	0.280	Isoindole alkaloids	0.178	Benzenoids	0.993	Phenol ethers	0.887	Anisoles	0.883			Anisoles	0.883	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Anisoles; Ethers; Organonitrogen compounds; Organooxygen compounds; Phenol ethers; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	220.096	141	2.347	703047701458671366	703045650628535123	84	
1	C17H36O10	[M + H]+	C17H37O10+	Fatty acids	0.867	Fatty acyls	0.584	Fatty alcohols	0.494	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.992	Polyethylene glycols	0.991	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	401.238	141	2.356	703047709427849630	703045650523677513	82	
1	C17H36O10	[M + H3N + H]+	C17H40NO10+	Fatty acids	0.887	Fatty acyls	0.555	Fatty alcohols	0.467	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Ethers	0.992	Dialkyl ethers	0.993	Polyethylene glycols	0.988	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	418.264	141	2.356	703047712011541087	703045650574009166	83	
1	C12H18N2O3S	[M + H]+	C12H19N2O3S+	Alkaloids	0.577	Linear polyketides	0.102	Imidazole alkaloids	0.035	Organic oxygen compounds	0.999	Organooxygen compounds	0.992	Ethers	0.654	Alkyl aryl ethers	0.612	Alkyl aryl ethers	0.612	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	271.112	143	2.387	703047717065677627	703045650926330732	90	
1	C9H15N5O	[M + H]+	C9H16N5O+	Alkaloids	0.797	Pseudoalkaloids (transamidation)	0.152	Purine alkaloids	0.177	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.987	Tertiary amines	0.905	Dialkylarylamines	0.940	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Piperidines; Organonitrogen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Primary amines; Tertiary amines; Tertiary alkylarylamines; Imidolactams; Dialkylarylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	210.135	144	2.393	703047705141270536	703045650796307298	88	
1	C22H38N4O9	[M + Na]+	C22H38N4NaO9+	Amino acids and Peptides	0.263	Linear polyketides	0.257	Aminoglycosides	0.073	Organic oxygen compounds	1.000	Organooxygen compounds	0.998	Alcohols and polyols	0.835	Secondary alcohols	0.626	Secondary alcohols	0.626	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Secondary alcohols; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	525.251	144	2.394	703047711084599842	703045650737587037	87	
1	C22H41N5O9	[M + H]+	C22H42N5O9+	Carbohydrates	0.986	Aminosugars and aminoglycosides	0.910	Aminoglycosides	0.961	Organic oxygen compounds	1.000	Organooxygen compounds	0.996	Carbohydrates and carbohydrate conjugates	0.848	Aminosaccharides	0.764	2-deoxystreptamine aminoglycosides	0.540	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Cyclitols and derivatives; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	520.296	144	2.394	703048015649832122	703045650871804775	89	
1	C20H40N4O9	[M + Na]+	C20H40N4NaO9+	Carbohydrates	0.972	Aminosugars and aminoglycosides	0.761	Aminoglycosides	0.825	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.728			Carbohydrates and carbohydrate conjugates	0.728	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Acetals; Secondary alcohols; Oxanes; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	503.269	144	2.394	703047938596270842	703045650976662385	91	
1	C21H38N4O8	[M + Na]+	C21H38N4NaO8+	Carbohydrates	0.816	Aminosugars and aminoglycosides	0.362	Aminoglycosides	0.325	Organic oxygen compounds	0.998	Organooxygen compounds	0.982	Alcohols and polyols	0.602	Primary alcohols	0.560	Primary alcohols	0.560	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	497.257	144	2.405	703047696396146099	703045651047965558	93	
1	C11H16N2O5	[M + H]+	C11H17N2O5+	Amino acids and Peptides	0.606	Tyrosine alkaloids	0.174	Pyridine alkaloids	0.159	Organic oxygen compounds	0.999	Organooxygen compounds	0.991	Alcohols and polyols	0.664			Alcohols and polyols	0.664	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	257.115	144	2.405	703047716625275658	703045651102491515	94	
1	C20H42O12	[M + H]+	C20H43O12+	Fatty acids	0.974	Glycerolipids	0.700	Fatty alcohols	0.580	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Ethers	0.987	Dialkyl ethers	0.983	Polyethylene glycols	0.896	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	475.274	144	2.405	703048196021683934	703045651157017472	96	
